,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,port hardy,20,CA,1546912800,86,50.7,-127.42,33.8,6.93
269,marawi,0,PH,1546915750,48,8.0,124.29,84.76,3.58
270,lazarev,12,RU,1546915750,61,52.23,141.51,1.29,8.84
271,coquimbo,90,CL,1546912800,82,-29.95,-71.34,62.6,4.7
272,buala,32,SB,1546915751,93,-8.15,159.59,83.46,6.82
273,amazar,0,RU,1546915751,56,53.86,120.88,-13.03,4.92
274,swan hill,0,AU,1546915751,75,-35.34,143.56,80.53,9.4
275,fereydunshahr,12,IR,1546915751,44,32.94,50.12,5.61,0.11
276,moron,64,VE,1546915752,94,10.49,-68.2,65.91,2.46
277,lakatoro,68,VU,1546915752,82,-16.11,167.42,83.01,8.5
278,sydney,40,AU,1546914600,54,-33.85,151.22,86.0,16.11
279,dalvik,80,SE,1546914000,100,57.79,14.13,37.4,4.7
280,kitgum,88,UG,1546915753,60,3.3,32.88,65.95,2.57
281,arraial do cabo,44,BR,1546915753,85,-22.97,-42.02,77.56,22.82
282,indramayu,88,ID,1546915753,95,-4.05,103.78,74.82,1.79
283,westport,76,IE,1546915535,98,53.8,-9.52,45.25,7.61
284,caibarien,20,CU,1546912200,88,22.52,-79.47,71.6,5.82
285,orange cove,1,US,1546914900,77,36.62,-119.31,59.0,4.7
286,soe,90,EE,1546912200,92,57.91,26.05,26.6,8.05
287,staryy merchyk,90,UA,1546914600,85,49.98,35.76,10.4,8.95
288,tibati,12,CM,1546915755,37,6.47,12.63,66.0,10.96
289,havre-saint-pierre,20,CA,1546912800,46,50.23,-63.6,6.8,8.05
290,riyadh,8,SA,1546912800,53,24.63,46.72,51.8,4.7
291,marzuq,0,YE,1546915756,69,14.4,46.47,38.05,1.68
292,oriximina,76,BR,1546915756,90,-1.77,-55.87,78.01,4.14
293,beringovskiy,88,RU,1546915756,86,63.05,179.32,20.37,31.43
294,rocha,0,UY,1546915542,96,-34.48,-54.34,63.25,4.03
295,chumikan,0,RU,1546915757,56,54.72,135.31,-5.74,14.32
296,caluquembe,12,AO,1546915757,89,-13.78,14.68,53.53,2.57
297,dejen,0,ET,1546915757,44,10.16,38.15,32.83,1.57
